,time,mid_price,spread,bid0,b_s0,ask0,a_s0,bid1,b_s1,ask1,a_s1,bid2,b_s2,ask2,a_s2,bid3,b_s3,ask3,a_s3,bid4,b_s4,ask4,a_s4,bid5,b_s5,ask5,a_s5,bid6,b_s6,ask6,a_s6,bid7,b_s7,ask7,a_s7,bid8,b_s8,ask8,a_s8,bid9,b_s9,ask9,a_s9,bid10,b_s10,ask10,a_s10,bid11,b_s11,ask11,a_s11,bid12,b_s12,ask12,a_s12,bid13,b_s13,ask13,a_s13,bid14,b_s14,ask14,a_s14,bid15,b_s15,ask15,a_s15,bid16,b_s16,ask16,a_s16,bid17,b_s17,ask17,a_s17,bid18,b_s18,ask18,a_s18,bid19,b_s19,ask19,a_s19
102,2024-05-07 01:11:59.254,63361.45,0.09999999999854481,63361.4,4.508,63361.5,3.768,63361.2,0.209,63362.0,0.002,63361.0,0.179,63362.1,0.4,63360.7,0.425,63362.2,0.002,63360.5,0.639,63362.7,0.091,63360.4,0.063,63363.1,0.4,63360.0,0.756,63363.2,0.002,63359.9,0.002,63363.4,0.023,63359.8,0.063,63363.5,0.19,63359.5,0.004,63364.0,0.162,63359.3,0.035,63364.1,0.013,63359.2,0.003,63364.2,0.385,63359.0,0.003,63364.8,1.5,63358.8,0.063,63365.0,0.017,63358.7,0.027,63365.8,0.03,63358.5,0.184,63366.0,0.162,63358.2,0.665,63366.1,0.049,63358.1,1.16,63367.2,0.015,63358.0,0.178,63367.4,0.002,63357.8,0.009,63367.5,0.002
103,2024-05-07 01:12:00.565,63374.149999999994,0.09999999999854481,63374.1,9.798,63374.2,0.531,63374.0,0.46,63374.3,0.13,63373.9,0.202,63375.0,0.029,63373.2,0.653,63375.1,0.002,63373.1,1.054,63375.3,0.002,63372.6,0.063,63375.7,0.025,63372.2,0.089,63376.0,0.002,63372.0,0.167,63376.2,0.002,63371.9,0.25,63376.4,0.002,63371.8,0.002,63376.7,0.267,63371.6,1.074,63377.6,0.002,63371.3,0.368,63377.7,0.122,63371.0,0.063,63377.8,0.024,63370.8,0.196,63378.0,0.166,63370.7,0.248,63378.3,0.009,63370.6,0.716,63378.7,0.157,63370.1,0.009,63379.0,0.048,63370.0,0.225,63379.5,0.035,63369.9,1.997,63380.0,0.164,63369.8,0.334,63380.6,0.049
104,2024-05-07 01:12:01.879,63376.649999999994,0.09999999999854481,63376.6,3.654,63376.7,2.094,63376.4,0.063,63377.7,0.124,63376.3,0.25,63377.8,0.002,63376.0,0.162,63378.0,0.166,63375.8,0.063,63378.3,0.009,63375.2,0.65,63378.7,0.157,63375.0,0.271,63379.0,0.048,63374.8,0.463,63379.5,0.004,63374.3,0.004,63379.8,0.006,63374.2,0.063,63380.0,0.164,63374.0,0.162,63380.1,0.002,63373.9,0.15,63380.5,0.022,63373.2,0.063,63380.6,0.039,63373.1,0.262,63380.7,0.002,63372.6,0.063,63381.0,0.07,63372.2,0.089,63381.1,0.002,63372.0,0.169,63381.2,0.002,63371.9,0.15,63381.6,0.013,63371.8,0.002,63381.9,0.002,63371.6,0.213,63382.0,0.188
105,2024-05-07 01:12:03.190,63382.149999999994,0.09999999999854481,63382.1,9.249,63382.2,0.235,63382.0,0.16,63382.8,0.004,63381.9,0.974,63383.7,0.039,63381.8,0.987,63384.0,0.118,63381.2,1.353,63384.1,0.267,63381.1,0.461,63384.6,0.005,63380.6,0.063,63385.1,0.005,63380.0,0.712,63385.2,0.002,63379.9,1.264,63385.3,0.048,63379.6,0.063,63385.7,0.002,63379.5,0.005,63385.8,0.002,63379.1,0.002,63386.0,0.004,63379.0,1.265,63386.3,0.002,63378.9,0.461,63386.6,0.002,63378.8,0.046,63386.8,0.002,63378.5,0.002,63386.9,0.157,63378.3,0.4,63387.1,0.002,63378.2,0.009,63387.2,0.002,63378.0,1.987,63387.5,0.044,63377.7,0.002,63388.0,0.006
106,2024-05-07 01:12:04.505,63382.149999999994,0.09999999999854481,63382.1,5.603,63382.2,0.549,63382.0,0.16,63382.7,0.997,63381.9,0.602,63382.8,0.002,63381.8,0.64,63383.7,0.039,63381.7,0.006,63384.0,0.002,63381.4,0.253,63384.6,0.002,63381.2,1.252,63385.1,0.002,63380.8,0.006,63385.2,0.021,63380.6,0.063,63385.3,0.048,63380.0,0.712,63385.6,0.002,63379.9,0.803,63385.7,0.002,63379.6,0.063,63385.8,0.002,63379.5,0.005,63386.0,0.004,63379.2,0.362,63386.3,0.002,63379.1,1.502,63386.4,0.022,63379.0,0.477,63386.6,0.002,63378.9,0.023,63386.8,0.002,63378.6,0.002,63386.9,0.039,63378.5,0.002,63387.1,0.002,63378.1,0.017,63387.2,0.145
107,2024-05-07 01:12:05.809,63388.05,0.09999999999854481,63388.0,0.939,63388.1,14.177,63387.6,0.063,63388.5,0.3,63387.2,0.213,63388.6,0.012,63387.1,0.15,63389.4,0.002,63387.0,0.063,63389.5,0.165,63386.8,0.026,63389.6,0.299,63386.6,0.002,63390.0,0.162,63386.0,0.227,63390.3,0.091,63385.9,0.15,63390.4,0.458,63385.7,0.15,63390.8,0.341,63385.5,0.15,63390.9,0.359,63385.4,0.063,63391.1,0.002,63385.2,0.002,63391.9,0.044,63385.0,0.002,63392.0,0.162,63384.9,0.014,63392.2,0.02,63384.5,0.048,63392.5,0.202,63384.4,0.063,63392.6,0.341,63384.0,0.169,63393.3,0.14,63383.9,0.007,63393.4,0.007,63383.8,0.063,63393.7,0.042
108,2024-05-07 01:12:07.115,63382.45,0.09999999999854481,63382.4,0.624,63382.5,7.083,63382.2,0.131,63382.7,0.064,63382.1,0.323,63382.8,0.063,63381.2,0.063,63383.3,0.49,63381.0,0.025,63383.4,0.868,63380.9,0.006,63383.8,0.063,63380.8,0.946,63383.9,0.3,63380.7,0.932,63384.0,0.164,63380.6,0.063,63384.1,0.335,63380.4,0.002,63384.4,0.063,63380.0,0.164,63384.6,0.022,63379.7,0.962,63385.1,0.153,63379.6,1.419,63385.4,0.063,63379.5,1.013,63385.7,0.002,63379.4,0.888,63385.9,0.121,63379.2,0.002,63386.0,0.225,63379.0,0.063,63386.1,0.172,63378.9,0.023,63387.0,0.063,63378.6,0.002,63387.1,0.002,63378.3,0.129,63387.4,0.078
109,2024-05-07 01:12:08.426,63382.45,0.09999999999854481,63382.4,0.733,63382.5,2.248,63382.2,0.131,63382.8,0.063,63382.1,0.323,63383.2,0.104,63382.0,0.16,63383.3,0.49,63381.2,0.063,63383.4,0.64,63381.0,0.946,63383.8,0.063,63380.9,0.968,63384.0,0.164,63380.8,0.94,63384.4,0.063,63380.7,0.686,63384.6,0.022,63380.6,0.063,63385.4,0.063,63380.4,0.002,63385.7,0.002,63380.1,0.959,63385.9,0.08,63380.0,0.164,63386.0,0.225,63379.6,0.063,63386.1,0.021,63379.5,0.06,63386.2,0.143,63379.4,0.888,63387.0,0.063,63379.3,0.002,63387.1,0.002,63379.2,0.002,63387.3,0.022,63379.0,0.063,63387.4,0.078,63378.9,0.023,63387.5,0.002
110,2024-05-07 01:12:09.726,63382.45,0.09999999999854481,63382.4,5.932,63382.5,1.141,63382.2,0.282,63384.0,0.004,63382.1,0.472,63384.4,0.063,63382.0,0.275,63384.6,0.022,63381.3,1.119,63385.4,0.063,63381.2,0.063,63385.7,0.002,63381.1,0.137,63385.9,0.08,63381.0,0.962,63386.0,0.065,63380.9,0.983,63386.1,0.019,63380.8,0.94,63386.2,0.143,63380.6,0.063,63387.0,0.063,63380.4,0.002,63387.1,0.002,63380.3,0.253,63387.3,0.022,63380.1,0.959,63387.4,0.078,63380.0,0.164,63387.5,0.002,63379.6,0.063,63387.6,0.065,63379.5,0.06,63387.7,0.02,63379.4,0.888,63388.0,0.162,63379.3,0.002,63388.5,0.002,63379.2,0.002,63388.6,0.063
111,2024-05-07 01:12:11.034,63382.45,0.09999999999854481,63382.4,6.347,63382.5,1.289,63382.3,0.622,63384.0,0.004,63382.2,0.214,63384.4,0.063,63382.1,0.472,63384.6,0.022,63382.0,0.275,63385.4,0.063,63381.2,0.063,63385.7,0.002,63381.1,0.157,63385.9,0.08,63380.9,0.025,63386.0,0.234,63380.6,0.063,63386.1,0.002,63380.4,0.002,63386.2,0.143,63380.3,0.253,63387.0,0.063,63380.0,0.164,63387.1,0.002,63379.6,0.063,63387.3,0.022,63379.5,0.06,63387.4,0.078,63379.4,0.888,63387.5,0.002,63379.3,0.002,63387.6,0.065,63379.2,0.002,63387.7,0.02,63379.0,0.063,63388.0,0.162,63378.9,0.023,63388.5,0.002,63378.6,0.755,63388.6,0.063
112,2024-05-07 01:12:12.347,63382.45,0.09999999999854481,63382.4,1.522,63382.5,2.328,63382.1,0.323,63382.8,0.063,63382.0,0.16,63383.7,0.061,63381.2,0.696,63383.8,0.063,63380.9,0.025,63384.0,0.164,63380.7,0.744,63384.4,0.063,63380.6,0.063,63384.6,0.022,63380.4,0.002,63385.4,0.063,63380.0,0.164,63385.7,0.002,63379.6,0.063,63386.0,0.234,63379.5,0.066,63386.1,0.002,63379.4,0.888,63386.2,0.143,63379.3,0.002,63386.4,0.14,63379.2,0.002,63386.9,0.092,63379.0,0.063,63387.0,0.063,63378.9,0.023,63387.1,0.002,63378.6,0.002,63387.3,0.022,63378.3,0.129,63387.4,0.078,63378.2,0.003,63387.5,0.002,63378.1,0.014,63387.6,0.065
113,2024-05-07 01:12:13.651,63382.149999999994,0.09999999999854481,63382.1,1.409,63382.2,13.19,63382.0,0.172,63382.3,0.49,63381.2,0.063,63382.4,0.008,63380.6,0.063,63382.5,0.677,63380.1,0.068,63382.8,0.063,63380.0,0.164,63383.8,0.063,63379.6,0.063,63384.0,0.164,63379.5,0.083,63384.4,0.063,63379.3,0.002,63384.6,0.002,63379.0,0.066,63385.4,0.063,63378.8,0.022,63385.7,0.019,63378.6,0.002,63386.0,0.377,63378.3,0.129,63386.1,0.002,63378.2,0.003,63386.4,0.14,63378.1,0.014,63386.9,0.092,63378.0,0.229,63387.0,0.063,63377.7,0.002,63387.1,0.002,63377.5,0.002,63387.3,0.022,63377.4,0.063,63387.4,0.078,63377.2,0.169,63387.5,0.002
114,2024-05-07 01:12:14.961,63382.149999999994,0.09999999999854481,63382.1,2.556,63382.2,7.936,63382.0,0.172,63382.4,0.008,63381.2,0.063,63382.5,0.407,63381.1,0.009,63382.8,0.063,63380.7,0.157,63383.8,0.063,63380.6,0.063,63384.0,0.164,63380.0,0.164,63384.4,0.063,63379.6,0.063,63384.6,0.002,63379.5,0.083,63385.4,0.063,63379.3,0.002,63385.7,0.019,63379.0,0.063,63386.0,0.377,63378.8,0.022,63386.4,0.14,63378.6,0.002,63386.9,0.092,63378.3,0.129,63387.0,0.063,63378.2,0.003,63387.1,0.002,63378.1,0.014,63387.3,0.022,63378.0,0.229,63387.4,0.078,63377.7,0.002,63387.5,0.002,63377.5,0.002,63387.6,0.065,63377.4,0.063,63387.7,0.02
115,2024-05-07 01:12:16.280,63382.149999999994,0.09999999999854481,63382.1,3.592,63382.2,1.206,63382.0,0.172,63382.4,0.008,63381.3,0.737,63382.5,0.028,63381.2,0.387,63383.7,0.053,63381.1,0.316,63384.0,0.004,63380.6,0.063,63384.4,0.063,63380.0,0.164,63384.6,0.002,63379.6,0.063,63385.4,0.063,63379.5,0.083,63385.7,0.019,63379.3,0.002,63386.0,0.217,63379.0,0.063,63386.4,0.14,63378.9,1.176,63386.9,0.092,63378.8,0.022,63387.0,0.063,63378.7,0.526,63387.1,0.002,63378.6,0.539,63387.3,0.022,63378.5,0.476,63387.4,0.078,63378.4,1.248,63387.5,0.002,63378.3,0.662,63387.6,0.065,63378.2,0.949,63387.7,0.02,63378.1,0.963,63388.0,0.168
116,2024-05-07 01:12:17.586,63382.149999999994,0.09999999999854481,63382.1,2.325,63382.2,2.392,63382.0,0.172,63382.4,0.008,63381.3,0.09,63382.5,0.028,63381.2,0.063,63382.8,0.063,63381.1,0.009,63383.7,0.101,63380.6,0.063,63383.8,0.063,63380.0,0.164,63384.0,0.164,63379.6,0.063,63384.4,0.063,63379.5,0.083,63384.6,0.002,63379.3,0.002,63385.4,0.063,63379.0,0.063,63385.7,0.002,63378.8,0.022,63386.0,0.377,63378.6,0.002,63386.4,0.14,63378.5,0.476,63386.9,0.092,63378.3,0.129,63387.0,0.063,63378.2,0.003,63387.1,0.002,63378.1,0.014,63387.3,0.022,63378.0,0.229,63387.4,0.078,63377.7,0.002,63387.5,0.002,63377.5,0.002,63387.6,0.065
117,2024-05-07 01:12:18.900,63382.149999999994,0.09999999999854481,63382.1,0.275,63382.2,9.379,63382.0,0.172,63382.4,0.008,63381.3,0.09,63382.5,0.028,63380.0,0.164,63382.8,0.063,63379.6,0.063,63383.7,0.107,63379.5,0.083,63383.8,0.063,63379.3,0.002,63384.0,0.164,63379.0,0.063,63384.4,0.063,63378.8,0.022,63384.6,0.002,63378.6,0.002,63385.4,0.063,63378.5,0.476,63385.7,0.002,63378.3,0.129,63386.0,0.377,63378.2,0.003,63386.4,0.14,63378.1,0.014,63386.9,0.092,63378.0,0.229,63387.0,0.063,63377.7,0.002,63387.1,0.002,63377.5,0.002,63387.3,0.022,63377.4,0.063,63387.4,0.078,63377.2,0.222,63387.5,0.002,63377.1,0.253,63387.6,0.065
118,2024-05-07 01:12:20.205,63380.05,0.09999999999854481,63380.0,0.735,63380.1,8.219,63379.6,0.063,63380.2,3.529,63379.5,0.083,63380.6,0.57,63379.3,0.034,63380.7,2.722,63379.0,0.063,63380.8,1.819,63378.8,0.022,63381.2,0.767,63378.3,0.129,63382.0,0.747,63378.2,0.003,63382.2,6.064,63378.1,0.014,63382.3,0.006,63378.0,0.229,63382.4,0.008,63377.5,0.002,63382.5,0.028,63377.4,0.063,63382.8,0.063,63377.2,0.195,63383.7,0.064,63376.7,0.185,63383.8,0.063,63376.6,0.032,63383.9,0.002,63376.4,0.065,63384.0,0.166,63376.0,0.273,63384.4,0.063,63375.8,0.063,63384.6,0.002,63375.7,0.253,63384.8,0.002,63375.6,0.11,63385.4,0.08
119,2024-05-07 01:12:21.509,63380.05,0.09999999999854481,63380.0,2.263,63380.1,8.062,63379.6,0.063,63380.2,1.007,63379.5,0.083,63380.6,0.553,63379.3,0.034,63380.7,0.517,63379.0,0.063,63380.8,0.02,63378.8,0.022,63380.9,0.002,63378.3,0.129,63381.2,0.767,63378.2,0.003,63382.0,0.162,63378.1,0.014,63382.1,6.784,63378.0,0.229,63382.2,5.366,63377.5,0.002,63382.3,0.003,63377.4,0.063,63382.4,0.008,63377.2,0.195,63382.5,0.028,63376.7,0.091,63382.8,0.063,63376.6,0.032,63383.7,0.209,63376.4,0.065,63383.8,0.063,63376.0,0.273,63383.9,0.002,63375.8,0.063,63384.0,0.166,63375.7,0.253,63384.4,0.063,63375.6,0.11,63384.6,0.002
120,2024-05-07 01:12:22.836,63380.05,0.09999999999854481,63380.0,0.781,63380.1,4.144,63379.6,0.23,63380.2,0.517,63379.5,0.083,63380.6,0.063,63379.3,0.382,63380.7,0.027,63379.0,0.347,63380.8,0.02,63378.8,0.022,63380.9,0.002,63378.3,0.129,63381.2,0.767,63378.2,0.003,63382.0,0.162,63378.1,0.014,63382.1,4.784,63378.0,0.229,63382.2,5.23,63377.5,0.002,63382.3,1.0,63377.4,0.063,63382.4,0.01,63376.7,0.091,63382.5,0.028,63376.6,0.032,63382.7,0.479,63376.4,0.065,63382.8,0.063,63376.0,0.273,63383.3,1.5,63375.8,0.063,63383.7,0.147,63375.7,0.253,63383.8,0.063,63375.6,0.11,63383.9,0.002,63375.4,0.002,63384.0,0.166
121,2024-05-07 01:12:24.129,63372.95,0.09999999999854481,63372.9,3.116,63373.0,2.283,63372.8,0.41,63373.1,0.012,63372.6,0.241,63374.0,0.002,63372.1,0.33,63374.2,0.172,63372.0,0.293,63374.3,0.15,63371.9,0.01,63374.8,0.063,63371.8,0.002,63375.3,0.146,63371.6,0.063,63375.8,0.063,63371.3,0.002,63376.0,0.002,63371.0,0.063,63376.4,0.063,63370.7,0.053,63376.7,0.378,63370.6,0.002,63376.8,0.306,63370.4,0.055,63377.4,0.063,63370.3,0.053,63377.6,0.002,63370.2,0.055,63378.0,0.229,63370.1,0.934,63378.1,0.017,63370.0,0.164,63378.4,0.02,63369.4,0.526,63378.6,0.154,63369.3,0.529,63378.7,0.02,63369.2,0.888,63379.0,0.063
122,2024-05-07 01:12:25.453,63372.95,0.09999999999854481,63372.9,2.014,63373.0,2.606,63372.8,0.23,63373.2,0.063,63372.6,0.241,63374.0,0.162,63372.3,0.139,63374.2,0.172,63372.1,0.33,63374.3,0.15,63372.0,0.164,63374.8,0.063,63371.9,0.01,63375.3,0.146,63371.8,0.002,63375.8,0.063,63371.6,0.063,63376.0,0.162,63371.3,0.002,63376.4,0.063,63371.0,0.063,63376.5,0.002,63370.9,0.002,63376.7,0.077,63370.6,0.002,63376.8,0.005,63370.3,0.253,63377.4,0.063,63370.2,0.002,63377.6,0.002,63370.1,0.014,63378.0,0.229,63370.0,0.227,63378.2,0.002,63369.4,0.063,63378.4,0.02,63369.3,0.002,63378.6,0.038,63369.2,0.888,63378.7,0.02
123,2024-05-07 01:12:26.746,63372.95,0.09999999999854481,63372.9,3.664,63373.0,1.147,63372.8,0.236,63374.0,0.002,63372.7,0.11,63374.8,0.063,63372.6,0.241,63375.2,0.075,63372.3,0.149,63375.3,0.146,63372.0,0.164,63375.8,0.063,63371.9,0.01,63376.0,0.002,63371.8,0.255,63376.4,0.063,63371.6,0.063,63376.5,0.002,63371.3,0.002,63376.7,0.077,63371.2,0.108,63376.8,0.005,63371.1,1.178,63377.4,0.063,63371.0,0.063,63377.6,0.002,63370.9,0.027,63378.0,0.229,63370.7,0.523,63378.2,0.002,63370.6,0.519,63378.4,0.02,63370.5,0.52,63378.6,0.038,63370.4,1.002,63378.7,0.02,63370.3,0.753,63379.0,0.063,63370.2,0.999,63379.6,0.065
124,2024-05-07 01:12:28.056,63372.95,0.09999999999854481,63372.9,4.149,63373.0,1.11,63372.8,0.236,63374.0,0.002,63372.7,0.11,63375.2,0.075,63372.6,0.241,63375.3,0.146,63372.3,0.145,63375.8,0.063,63372.0,0.164,63376.0,0.002,63371.9,0.01,63376.4,0.063,63371.8,0.255,63376.5,0.002,63371.6,0.063,63376.7,0.077,63371.3,0.002,63376.8,0.005,63371.1,1.178,63377.4,0.063,63371.0,0.063,63377.6,0.002,63370.9,0.027,63378.0,0.229,63370.7,0.523,63378.2,0.002,63370.6,0.519,63378.4,0.02,63370.5,1.52,63378.6,0.038,63370.4,0.948,63378.7,0.02,63370.3,0.253,63379.0,0.063,63370.2,0.944,63379.3,0.004,63370.1,0.977,63379.4,1.025
